what,kind,bundleId,bundleVersion,description,time
stopped,bundle,org.eclipse.dltk.ruby.formatter,1.0.0.v20081101,org.eclipse.dltk.ruby.formatter,1242390456500
stopped,bundle,org.eclipse.dltk.ruby.ui,1.0.0.v20081208-2006,org.eclipse.dltk.ruby.ui,1242390456500
stopped,bundle,org.eclipse.dltk.ruby.activestatedebugger,1.0.0.v20081105,org.eclipse.dltk.ruby.activestatedebugger,1242390456546
stopped,bundle,org.eclipse.dltk.ruby.basicdebugger,1.0.0.v20081105,org.eclipse.dltk.ruby.basicdebugger,1242390456562
stopped,bundle,org.eclipse.dltk.ruby.fastdebugger,1.0.0.v20081105,org.eclipse.dltk.ruby.fastdebugger,1242390456578
stopped,bundle,org.eclipse.dltk.testing,1.0.0.v20080919-1935,org.eclipse.dltk.testing,1242390456609
stopped,bundle,org.eclipse.dltk.debug.ui,1.0.0.v20081228,org.eclipse.dltk.debug.ui,1242390456625
stopped,bundle,org.eclipse.dltk.validators.externalchecker,0.95.1.v20081006,org.eclipse.dltk.validators.externalchecker,1242390456625
stopped,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20081201,org.eclipse.dltk.validators.ui,1242390456625
stopped,bundle,org.eclipse.dltk.ui,1.0.0.v20081228,org.eclipse.dltk.ui,1242390456625
stopped,bundle,org.eclipse.mylyn.ide.ant,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.ide.ant,1242390456625
stopped,bundle,org.eclipse.mylyn.pde.ui,3.0.5.v20090218-1800-e3x,org.eclipse.mylyn.pde.ui,1242390456625
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.0.v20080730_r341,org.eclipse.pde.api.tools.ui,1242390456687
stopped,bundle,org.eclipse.pde.p2.ui,1.0.0.v20080604-2000,org.eclipse.pde.p2.ui,1242390456750
stopped,bundle,org.eclipse.pde.runtime,3.4.0.v20080723-1000,org.eclipse.pde.runtime,1242390456765
